"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Dayne St. Clair","MIN","2022","776","44","6","36","9.1%","11.99","-5.99","0.50"
"","Sean Johnson","NYC","2022","942","33","9","24","12.1%","11.49","-2.49","0.78"
"","Aljaz Ivacic","POR","2022","1003","48","14","34","16.7%","16.41","-2.41","0.85"
"","Roman Celentano","CIN","2022","393","20","3","17","5.0%","5.31","-2.31","0.56"
"","Steve Clark","HOU","2022","994","44","13","30","15.9%","14.61","-1.61","0.89"
"","Maarten Paes","FCD","2022","991","30","7","20","13.3%","8.49","-1.49","0.82"
"","Stefan Cleveland","SEA","2022","295","17","4","13","5.9%","5.34","-1.34","0.75"
"","Carlos Coronel","NYRB","2022","998","25","8","17","20.0%","9.11","-1.11","0.88"
"","Maxime Crépeau","LAFC","2022","1000","28","9","18","10.7%","9.93","-0.93","0.91"
"","Alex Bono","TOR","2022","1159","67","22","44","13.4%","22.69","-0.69","0.97"
"","Kristijan Kahlina","CLT","2022","1084","56","13","43","12.5%","13.57","-0.57","0.96"
"","Cody Cropper","VAN","2022","28","1","0","1","100.0%","0.55","-0.55","0.00"
"","Jonathan Bond","LAG","2022","1001","29","7","21","24.1%","7.46","-0.46","0.94"
"","William Yarbrough","COL","2022","991","43","12","31","14.0%","12.46","-0.46","0.96"
"","Eloy Room","CLB","2022","993","33","10","22","27.3%","10.44","-0.44","0.96"
"","Gabriel Slonina","CHI","2022","983","31","11","19","12.9%","11.29","-0.29","0.97"
"","Drake Callender","MIA","2022","198","13","4","9","23.1%","4.22","-0.22","0.95"
"","Rafael Romo","DCU","2022","45","1","0","1","0.0%","0.18","-0.18","0.00"
"","Mason Stajduhar","ORL","2022","99","3","1","2","0.0%","0.98","0.02","1.02"
"","Andre Blake","PHI","2022","1001","39","8","30","15.4%","7.95","0.05","1.01"
"","David Bingham","POR","2022","100","4","1","3","0.0%","0.90","0.10","1.11"
"","Matt Turner","NER","2022","194","6","2","4","0.0%","1.84","0.16","1.09"
"","Brad Knighton","NER","2022","398","20","7","13","15.0%","6.81","0.19","1.03"
"","Zac MacMath","RSL","2022","1088","63","15","47","15.9%","14.75","0.25","1.02"
"","Andrew Tarbell","ATX","2022","195","7","1","6","0.0%","0.65","0.35","1.54"
"","Tyler Miller","MIN","2022","197","7","2","5","28.6%","1.61","0.39","1.24"
"","Bobby Shuttleworth","ATL","2022","322","9","5","4","33.3%","4.40","0.60","1.14"
"","Brad Stuver","ATX","2022","800","31","8","22","22.6%","7.21","0.79","1.11"
"","Earl Edwards Jr.","NER","2022","399","17","8","9","11.8%","7.16","0.84","1.12"
"","Joe Willis","NSH","2022","993","40","10","29","12.5%","8.99","1.01","1.11"
"","Nick Marsman","MIA","2022","494","24","8","16","12.5%","6.79","1.21","1.18"
"","Clément Diop","MIA","2022","298","11","7","4","18.2%","5.77","1.23","1.21"
"","Brad Guzan","ATL","2022","667","24","9","14","25.0%","7.71","1.29","1.17"
"","Jon Kempin","DCU","2022","199","11","5","6","63.6%","3.67","1.33","1.36"
"","Bill Hamid","DCU","2022","672","33","8","23","21.2%","6.49","1.51","1.23"
"","Stefan Frei","SEA","2022","494","24","9","15","8.3%","7.16","1.84","1.26"
"","Pedro Gallese","ORL","2022","996","38","14","24","18.4%","11.85","2.15","1.18"
"","Alec Kann","CIN","2022","695","35","13","21","17.1%","10.67","2.33","1.22"
"","Thomas Hasal","VAN","2022","872","44","17","27","11.4%","14.66","2.34","1.16"
"","JT Marcinkowski","SJE","2022","994","61","23","36","9.8%","20.42","2.58","1.13"
"","Sebastian Breza","MTL","2022","995","40","18","21","17.5%","14.60","3.40","1.23"
"","Tim Melia","SKC","2022","1076","37","16","21","10.8%","12.43","3.57","1.29"